T03,Population growth and indicators of fertility and mortality,,,,,
191,Croatia,2005,Life expectancy at birth for males (years),71.3600,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
191,Croatia,2005,Life expectancy at birth for females (years),78.4300,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
191,Croatia,2010,Population annual rate of increase (percent),-0.2290,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
191,Croatia,2010,Total fertility rate (children per women),1.5220,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
191,Croatia,2010,"Infant mortality for both sexes (per 1,000 live births)",5.7500,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
191,Croatia,2010,"Maternal mortality ratio (deaths per 100,000 population)",10.2658,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
191,Croatia,2010,Life expectancy at birth for both sexes (years),76.0950,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
191,Croatia,2010,Life expectancy at birth for males (years),72.5700,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
191,Croatia,2010,Life expectancy at birth for females (years),79.5300,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
191,Croatia,2015,Population annual rate of increase (percent),-0.4450,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
191,Croatia,2015,Total fertility rate (children per women),1.4880,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
191,Croatia,2015,"Infant mortality for both sexes (per 1,000 live births)",4.2610,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
191,Croatia,2015,"Maternal mortality ratio (deaths per 100,000 population)",8.4798,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
191,Croatia,2015,Life expectancy at birth for both sexes (years),77.4490,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
191,Croatia,2015,Life expectancy at birth for males (years),74.2100,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
191,Croatia,2015,Life expectancy at birth for females (years),80.6200,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
192,Cuba,2005,Population annual rate of increase (percent),0.2410,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
192,Cuba,2005,Total fertility rate (children per women),1.5900,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
192,Cuba,2005,"Infant mortality for both sexes (per 1,000 live births)",6.1260,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
192,Cuba,2005,"Maternal mortality ratio (deaths per 100,000 population)",41.2419,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
192,Cuba,2005,Life expectancy at birth for both sexes (years),77.1640,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
192,Cuba,2005,Life expectancy at birth for males (years),75.2900,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
192,Cuba,2005,Life expectancy at birth for females (years),79.0900,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
192,Cuba,2010,Population annual rate of increase (percent),-0.0640,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
192,Cuba,2010,Total fertility rate (children per women),1.5770,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
192,Cuba,2010,"Infant mortality for both sexes (per 1,000 live births)",5.3400,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
192,Cuba,2010,"Maternal mortality ratio (deaths per 100,000 population)",43.7700,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
192,Cuba,2010,Life expectancy at birth for both sexes (years),78.1100,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
192,Cuba,2010,Life expectancy at birth for males (years),76.1300,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
192,Cuba,2010,Life expectancy at birth for females (years),80.1400,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
192,Cuba,2015,Population annual rate of increase (percent),0.1760,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
192,Cuba,2015,Total fertility rate (children per women),1.7060,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
192,Cuba,2015,"Infant mortality for both sexes (per 1,000 live births)",4.8020,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
192,Cuba,2015,"Maternal mortality ratio (deaths per 100,000 population)",39.1641,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
192,Cuba,2015,Life expectancy at birth for both sexes (years),78.4580,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
192,Cuba,2015,Life expectancy at birth for males (years),76.5100,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
192,Cuba,2015,Life expectancy at birth for females (years),80.4300,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
531,Curaçao,2005,Population annual rate of increase (percent),-0.3070,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
531,Curaçao,2005,Total fertility rate (children per women),2.2600,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
531,Curaçao,2005,"Infant mortality for both sexes (per 1,000 live births)",14.6720,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
531,Curaçao,2005,Life expectancy at birth for both sexes (years),74.9950,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
531,Curaçao,2005,Life expectancy at birth for males (years),71.2000,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
531,Curaçao,2005,Life expectancy at birth for females (years),78.5900,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
531,Curaçao,2010,Population annual rate of increase (percent),2.7340,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
531,Curaçao,2010,Total fertility rate (children per women),2.1800,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
531,Curaçao,2010,"Infant mortality for both sexes (per 1,000 live births)",12.9780,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
531,Curaçao,2010,Life expectancy at birth for both sexes (years),76.1180,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
531,Curaçao,2010,Life expectancy at birth for males (years),72.6500,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
531,Curaçao,2010,Life expectancy at birth for females (years),79.3800,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
531,Curaçao,2015,Population annual rate of increase (percent),1.3800,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
531,Curaçao,2015,Total fertility rate (children per women),2.1200,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
531,Curaçao,2015,"Infant mortality for both sexes (per 1,000 live births)",10.2680,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
531,Curaçao,2015,Life expectancy at birth for both sexes (years),77.7740,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
531,Curaçao,2015,Life expectancy at birth for males (years),74.5000,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
531,Curaçao,2015,Life expectancy at birth for females (years),80.7000,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
196,Cyprus,2005,Population annual rate of increase (percent),1.7130,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
196,Cyprus,2005,Total fertility rate (children per women),1.5910,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
196,Cyprus,2005,"Infant mortality for both sexes (per 1,000 live births)",5.5870,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
196,Cyprus,2005,"Maternal mortality ratio (deaths per 100,000 population)",11.8269,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
196,Cyprus,2005,Life expectancy at birth for both sexes (years),78.3390,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
196,Cyprus,2005,Life expectancy at birth for males (years),76.2500,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
196,Cyprus,2005,Life expectancy at birth for females (years),80.4500,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
196,Cyprus,2010,Population annual rate of increase (percent),1.5890,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
196,Cyprus,2010,Total fertility rate (children per women),1.4800,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
196,Cyprus,2010,"Infant mortality for both sexes (per 1,000 live births)",4.3490,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
196,Cyprus,2010,"Maternal mortality ratio (deaths per 100,000 population)",7.5147,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
196,Cyprus,2010,Life expectancy at birth for both sexes (years),78.9640,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
196,Cyprus,2010,Life expectancy at birth for males (years),76.8500,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
196,Cyprus,2010,Life expectancy at birth for females (years),81.1000,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
196,Cyprus,2015,Population annual rate of increase (percent),0.8510,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
196,Cyprus,2015,Total fertility rate (children per women),1.3800,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
196,Cyprus,2015,"Infant mortality for both sexes (per 1,000 live births)",4.1930,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
196,Cyprus,2015,"Maternal mortality ratio (deaths per 100,000 population)",6.9296,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
196,Cyprus,2015,Life expectancy at birth for both sexes (years),79.9250,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
196,Cyprus,2015,Life expectancy at birth for males (years),77.6900,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
196,Cyprus,2015,Life expectancy at birth for females (years),82.1700,Data refers to a 5-year period preceding the reference year.;Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
203,Czechia,2005,Population annual rate of increase (percent),-0.0610,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
203,Czechia,2005,Total fertility rate (children per women),1.1870,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
203,Czechia,2005,"Infant mortality for both sexes (per 1,000 live births)",3.9550,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
203,Czechia,2005,"Maternal mortality ratio (deaths per 100,000 population)",6.0792,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
203,Czechia,2005,Life expectancy at birth for both sexes (years),75.5330,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
203,Czechia,2005,Life expectancy at birth for males (years),72.2100,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
203,Czechia,2005,Life expectancy at birth for females (years),78.7800,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
203,Czechia,2010,Population annual rate of increase (percent),0.5350,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
203,Czechia,2010,Total fertility rate (children per women),1.4286,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
203,Czechia,2010,"Infant mortality for both sexes (per 1,000 live births)",3.0780,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
203,Czechia,2010,"Maternal mortality ratio (deaths per 100,000 population)",4.5868,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
203,Czechia,2010,Life expectancy at birth for both sexes (years),76.9860,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
203,Czechia,2010,Life expectancy at birth for males (years),73.7900,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
203,Czechia,2010,Life expectancy at birth for females (years),80.0900,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
203,Czechia,2015,Population annual rate of increase (percent),0.1230,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
203,Czechia,2015,Total fertility rate (children per women),1.4789,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
203,Czechia,2015,"Infant mortality for both sexes (per 1,000 live births)",2.5280,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
203,Czechia,2015,"Maternal mortality ratio (deaths per 100,000 population)",4.4151,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
203,Czechia,2015,Life expectancy at birth for both sexes (years),78.1610,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
203,Czechia,2015,Life expectancy at birth for males (years),75.1100,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
203,Czechia,2015,Life expectancy at birth for females (years),81.1500,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
408,Dem. People's Rep. Korea,2005,Population annual rate of increase (percent),0.8330,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
408,Dem. People's Rep. Korea,2005,Total fertility rate (children per women),2.0000,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
408,Dem. People's Rep. Korea,2005,"Infant mortality for both sexes (per 1,000 live births)",28.4980,Data refers to a 5-year period preceding the reference year.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
408,Dem. People's Rep. Korea,2005,"Maternal mortality ratio (deaths per 100,000 population)",104.7452,,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 1990 - 2015."""
408,Dem. People's Rep. Korea,2005,Life expectancy at birth for both sexes (years),68.0610,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
