T21,"Production, trade and supply of energy",,,,,
40,Austria,2017,Changes in stocks (petajoules),4.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,1990,Total supply (petajoules),1041.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,1995,Total supply (petajoules),1123.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,2000,Total supply (petajoules),1198.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,2005,Total supply (petajoules),1407.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,2010,Total supply (petajoules),1409.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,2015,Total supply (petajoules),1366.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,2016,Total supply (petajoules),1375.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,2017,Total supply (petajoules),1404.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,1990,Supply per capita (gigajoules),136.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,1995,Supply per capita (gigajoules),142.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,2000,Supply per capita (gigajoules),150.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,2005,Supply per capita (gigajoules),171.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,2010,Supply per capita (gigajoules),168.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,2015,Supply per capita (gigajoules),157.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,2016,Supply per capita (gigajoules),158.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
40,Austria,2017,Supply per capita (gigajoules),161.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,1995,Primary energy production (petajoules),628.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2000,Primary energy production (petajoules),803.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2005,Primary energy production (petajoules),1155.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2010,Primary energy production (petajoules),2759.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2015,Primary energy production (petajoules),2474.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2016,Primary energy production (petajoules),2429.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2017,Primary energy production (petajoules),2308.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-91.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-319.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-547.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-2239.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-1891.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-1842.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-1685.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,1995,Changes in stocks (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2000,Changes in stocks (petajoules),-2.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2005,Changes in stocks (petajoules),35.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2010,Changes in stocks (petajoules),34.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2015,Changes in stocks (petajoules),-22.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2016,Changes in stocks (petajoules),-13.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2017,Changes in stocks (petajoules),21.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,1995,Total supply (petajoules),536.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2000,Total supply (petajoules),485.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2005,Total supply (petajoules),573.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2010,Total supply (petajoules),486.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2015,Total supply (petajoules),605.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2016,Total supply (petajoules),599.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2017,Total supply (petajoules),602.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,1995,Supply per capita (gigajoules),69.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2000,Supply per capita (gigajoules),60.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2005,Supply per capita (gigajoules),67.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2010,Supply per capita (gigajoules),54.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2015,Supply per capita (gigajoules),63.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2016,Supply per capita (gigajoules),62.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
31,Azerbaijan,2017,Supply per capita (gigajoules),61.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2005,Primary energy production (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2010,Primary energy production (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2015,Primary energy production (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2016,Primary energy production (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2017,Primary energy production (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,1990,Net imports [Imports - Exports - Bunkers] (petajoules),35.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,1995,Net imports [Imports - Exports - Bunkers] (petajoules),22.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2000,Net imports [Imports - Exports - Bunkers] (petajoules),26.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2005,Net imports [Imports - Exports - Bunkers] (petajoules),27.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2010,Net imports [Imports - Exports - Bunkers] (petajoules),34.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2015,Net imports [Imports - Exports - Bunkers] (petajoules),19.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2016,Net imports [Imports - Exports - Bunkers] (petajoules),13.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2017,Net imports [Imports - Exports - Bunkers] (petajoules),23.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,1990,Changes in stocks (petajoules),9.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,1995,Changes in stocks (petajoules),-1.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2000,Changes in stocks (petajoules),-1.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2005,Changes in stocks (petajoules),0.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2015,Changes in stocks (petajoules),-10.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2016,Changes in stocks (petajoules),-13.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2017,Changes in stocks (petajoules),-5.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,1990,Total supply (petajoules),26.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,1995,Total supply (petajoules),24.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2000,Total supply (petajoules),27.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2005,Total supply (petajoules),26.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2010,Total supply (petajoules),35.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2015,Total supply (petajoules),29.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2016,Total supply (petajoules),26.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2017,Total supply (petajoules),29.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,1990,Supply per capita (gigajoules),100.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,1995,Supply per capita (gigajoules),86.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2000,Supply per capita (gigajoules),91.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2005,Supply per capita (gigajoules),83.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2010,Supply per capita (gigajoules),96.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2015,Supply per capita (gigajoules),76.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2016,Supply per capita (gigajoules),66.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
44,Bahamas,2017,Supply per capita (gigajoules),72.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,1990,Primary energy production (petajoules),294.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,1995,Primary energy production (petajoules),341.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2000,Primary energy production (petajoules),706.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2005,Primary energy production (petajoules),672.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2010,Primary energy production (petajoules),849.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2015,Primary energy production (petajoules),957.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2016,Primary energy production (petajoules),940.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2017,Primary energy production (petajoules),942.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-87.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-94.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-382.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-353.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-339.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-380.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2016,Net imports [Imports - Exports - Bunkers] (petajoules),-378.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2017,Net imports [Imports - Exports - Bunkers] (petajoules),-378.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,1990,Changes in stocks (petajoules),-6.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,1995,Changes in stocks (petajoules),-10.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2000,Changes in stocks (petajoules),-6.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2005,Changes in stocks (petajoules),-28.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2010,Changes in stocks (petajoules),-3.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2015,Changes in stocks (petajoules),-4.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2016,Changes in stocks (petajoules),6.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2017,Changes in stocks (petajoules),-15.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,1990,Total supply (petajoules),213.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,1995,Total supply (petajoules),257.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2000,Total supply (petajoules),331.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2005,Total supply (petajoules),348.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2010,Total supply (petajoules),513.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2015,Total supply (petajoules),580.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2016,Total supply (petajoules),557.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2017,Total supply (petajoules),580.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,1990,Supply per capita (gigajoules),433.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,1995,Supply per capita (gigajoules),459.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2000,Supply per capita (gigajoules),518.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2005,Supply per capita (gigajoules),480.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2010,Supply per capita (gigajoules),413.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2015,Supply per capita (gigajoules),423.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2016,Supply per capita (gigajoules),390.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
48,Bahrain,2017,Supply per capita (gigajoules),389.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,1990,Primary energy production (petajoules),681.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,1995,Primary energy production (petajoules),792.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2000,Primary energy production (petajoules),857.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2005,Primary energy production (petajoules),1027.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2010,Primary energy production (petajoules),1304.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2015,Primary energy production (petajoules),1509.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2016,Primary energy production (petajoules),1601.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2017,Primary energy production (petajoules),1605.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,1990,Net imports [Imports - Exports - Bunkers] (petajoules),84.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,1995,Net imports [Imports - Exports - Bunkers] (petajoules),123.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2000,Net imports [Imports - Exports - Bunkers] (petajoules),139.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2005,Net imports [Imports - Exports - Bunkers] (petajoules),165.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2010,Net imports [Imports - Exports - Bunkers] (petajoules),163.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2015,Net imports [Imports - Exports - Bunkers] (petajoules),274.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2016,Net imports [Imports - Exports - Bunkers] (petajoules),246.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2017,Net imports [Imports - Exports - Bunkers] (petajoules),302.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,1990,Changes in stocks (petajoules),-3.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,1995,Changes in stocks (petajoules),-4.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2000,Changes in stocks (petajoules),-3.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2005,Changes in stocks (petajoules),1.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2010,Changes in stocks (petajoules),-26.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2015,Changes in stocks (petajoules),-7.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2016,Changes in stocks (petajoules),-16.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2017,Changes in stocks (petajoules),-18.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,1990,Total supply (petajoules),769.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,1995,Total supply (petajoules),918.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2000,Total supply (petajoules),998.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2005,Total supply (petajoules),1191.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2010,Total supply (petajoules),1493.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2015,Total supply (petajoules),1790.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2016,Total supply (petajoules),1864.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2017,Total supply (petajoules),1925.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,1990,Supply per capita (gigajoules),7.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,1995,Supply per capita (gigajoules),8.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2000,Supply per capita (gigajoules),8.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2005,Supply per capita (gigajoules),8.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2010,Supply per capita (gigajoules),10.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2015,Supply per capita (gigajoules),11.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2016,Supply per capita (gigajoules),11.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
50,Bangladesh,2017,Supply per capita (gigajoules),12.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,1990,Primary energy production (petajoules),5.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,1995,Primary energy production (petajoules),5.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2000,Primary energy production (petajoules),6.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2005,Primary energy production (petajoules),4.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2010,Primary energy production (petajoules),4.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2015,Primary energy production (petajoules),3.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2016,Primary energy production (petajoules),3.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2017,Primary energy production (petajoules),2.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,1990,Net imports [Imports - Exports - Bunkers] (petajoules),9.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,1995,Net imports [Imports - Exports - Bunkers] (petajoules),8.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2000,Net imports [Imports - Exports - Bunkers] (petajoules),10.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2005,Net imports [Imports - Exports - Bunkers] (petajoules),12.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2010,Net imports [Imports - Exports - Bunkers] (petajoules),16.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2015,Net imports [Imports - Exports - Bunkers] (petajoules),15.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2016,Net imports [Imports - Exports - Bunkers] (petajoules),16.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2017,Net imports [Imports - Exports - Bunkers] (petajoules),14.0000,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,1990,Changes in stocks (petajoules),-1.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,1995,Changes in stocks (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2000,Changes in stocks (petajoules),-1.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
52,Barbados,2005,Changes in stocks (petajoules),0.0000,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2017, last accessed February 2020."
