T22,Land,,,,,
154,Northern Europe,2017,Permanent crops (thousand hectares),133.4810,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
154,Northern Europe,2017,Forest cover (thousand hectares),74734.7590,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
154,Northern Europe,2017,Arable land (% of total land area),11.0315,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
154,Northern Europe,2017,Permanent crops (% of total land area),0.0786,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
154,Northern Europe,2017,Forest cover (% of total land area),44.0188,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2005,Land area (thousand hectares),129659.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2005,Arable land (thousand hectares),31212.4600,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2005,Permanent crops (thousand hectares),10044.5300,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2005,Forest cover (thousand hectares),43295.8370,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2005,Arable land (% of total land area),24.0727,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2005,Permanent crops (% of total land area),7.7469,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2005,Forest cover (% of total land area),33.3921,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2010,Land area (thousand hectares),129633.6200,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2010,Arable land (thousand hectares),29254.7100,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2010,Permanent crops (thousand hectares),9684.8700,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2010,Forest cover (thousand hectares),45099.8470,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2010,Arable land (% of total land area),22.5672,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2010,Permanent crops (% of total land area),7.4710,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2010,Forest cover (% of total land area),34.7902,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2017,Land area (thousand hectares),129650.6850,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2017,Arable land (thousand hectares),27769.1170,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2017,Permanent crops (thousand hectares),9635.6600,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2017,Forest cover (thousand hectares),45638.7170,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2017,Arable land (% of total land area),21.4184,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2017,Permanent crops (% of total land area),7.4320,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
39,Southern Europe,2017,Forest cover (% of total land area),35.2013,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2005,Land area (thousand hectares),108504.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2005,Arable land (thousand hectares),34086.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2005,Permanent crops (thousand hectares),1452.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2005,Forest cover (thousand hectares),33445.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2005,Arable land (% of total land area),31.4147,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2005,Permanent crops (% of total land area),1.3389,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2005,Forest cover (% of total land area),30.8243,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2010,Land area (thousand hectares),108481.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2010,Arable land (thousand hectares),33836.8500,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2010,Permanent crops (thousand hectares),1359.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2010,Forest cover (thousand hectares),34075.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2010,Arable land (% of total land area),31.1914,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2010,Permanent crops (% of total land area),1.2527,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2010,Forest cover (% of total land area),31.4117,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2017,Land area (thousand hectares),108550.6030,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2017,Arable land (thousand hectares),33900.6890,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2017,Permanent crops (thousand hectares),1352.7365,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2017,Forest cover (thousand hectares),34684.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2017,Arable land (% of total land area),31.2303,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2017,Permanent crops (% of total land area),1.2462,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
155,Western Europe,2017,Forest cover (% of total land area),31.9519,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2005,Land area (thousand hectares),848654.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2005,Arable land (thousand hectares),27325.8500,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2005,Permanent crops (thousand hectares),1419.4900,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2005,Forest cover (thousand hectares),176485.3350,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2005,Arable land (% of total land area),3.2199,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2005,Permanent crops (% of total land area),0.1673,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2005,Forest cover (% of total land area),20.7959,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.5082,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
9,Oceania,2010,Land area (thousand hectares),848654.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2010,Arable land (thousand hectares),26502.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2010,Permanent crops (thousand hectares),1719.9400,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2010,Forest cover (thousand hectares),172001.6250,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2010,Arable land (% of total land area),3.1228,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2010,Permanent crops (% of total land area),0.2027,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2010,Forest cover (% of total land area),20.2676,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),29.7197,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
9,Oceania,2017,Land area (thousand hectares),849626.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2017,Arable land (thousand hectares),31876.7400,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2017,Permanent crops (thousand hectares),1527.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2017,Forest cover (thousand hectares),173523.5780,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2017,Arable land (% of total land area),3.7519,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2017,Permanent crops (% of total land area),0.1798,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2017,Forest cover (% of total land area),20.4235,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
9,Oceania,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),33.7363,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
9,Oceania,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),33.7399,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
53,Australia and New Zealand,2005,Land area (thousand hectares),794565.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2005,Arable land (thousand hectares),26827.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2005,Permanent crops (thousand hectares),403.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2005,Forest cover (thousand hectares),137824.4600,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2005,Arable land (% of total land area),3.3763,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2005,Permanent crops (% of total land area),0.0507,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2005,Forest cover (% of total land area),17.3459,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),40.8517,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
53,Australia and New Zealand,2010,Land area (thousand hectares),794565.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2010,Arable land (thousand hectares),25949.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2010,Permanent crops (thousand hectares),588.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2010,Forest cover (thousand hectares),133362.4600,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2010,Arable land (% of total land area),3.2658,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2010,Permanent crops (% of total land area),0.0741,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2010,Forest cover (% of total land area),16.7843,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),46.4813,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
53,Australia and New Zealand,2017,Land area (thousand hectares),795537.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2017,Arable land (thousand hectares),31322.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2017,Permanent crops (thousand hectares),397.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2017,Forest cover (thousand hectares),134903.4600,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2017,Arable land (% of total land area),3.9372,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2017,Permanent crops (% of total land area),0.0499,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2017,Forest cover (% of total land area),16.9575,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
53,Australia and New Zealand,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),52.9837,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
53,Australia and New Zealand,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),52.9909,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
54,Melanesia,2005,Land area (thousand hectares),52959.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2005,Arable land (thousand hectares),452.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2005,Permanent crops (thousand hectares),872.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2005,Forest cover (thousand hectares),38103.2600,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2005,Arable land (% of total land area),0.8550,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2005,Permanent crops (% of total land area),1.6481,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2005,Forest cover (% of total land area),71.9486,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2010,Land area (thousand hectares),52959.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2010,Arable land (thousand hectares),510.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2010,Permanent crops (thousand hectares),993.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2010,Forest cover (thousand hectares),38057.8960,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2010,Arable land (% of total land area),0.9645,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2010,Permanent crops (% of total land area),1.8765,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2010,Forest cover (% of total land area),71.8629,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2017,Land area (thousand hectares),52959.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2017,Arable land (thousand hectares),511.2400,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2017,Permanent crops (thousand hectares),994.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2017,Forest cover (thousand hectares),38040.1950,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2017,Arable land (% of total land area),0.9654,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2017,Permanent crops (% of total land area),1.8769,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
54,Melanesia,2017,Forest cover (% of total land area),71.8295,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2005,Land area (thousand hectares),317.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2005,Arable land (thousand hectares),10.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2005,Permanent crops (thousand hectares),70.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2005,Forest cover (thousand hectares),185.2240,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2005,Arable land (% of total land area),3.3123,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2005,Permanent crops (% of total land area),22.2082,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2005,Forest cover (% of total land area),58.4303,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2010,Land area (thousand hectares),317.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2010,Arable land (thousand hectares),9.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2010,Permanent crops (thousand hectares),69.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2010,Forest cover (thousand hectares),184.5370,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2010,Arable land (% of total land area),2.8391,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2010,Permanent crops (% of total land area),21.8927,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2010,Forest cover (% of total land area),58.2136,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2017,Land area (thousand hectares),317.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2017,Arable land (thousand hectares),9.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2017,Permanent crops (thousand hectares),67.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2017,Forest cover (thousand hectares),183.8500,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2017,Arable land (% of total land area),2.8391,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2017,Permanent crops (% of total land area),21.3565,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
57,Micronesia,2017,Forest cover (% of total land area),57.9968,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2005,Land area (thousand hectares),813.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2005,Arable land (thousand hectares),35.5500,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2005,Permanent crops (thousand hectares),73.2900,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2005,Forest cover (thousand hectares),372.3910,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2005,Arable land (% of total land area),4.3689,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2005,Permanent crops (% of total land area),9.0070,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2005,Forest cover (% of total land area),45.7651,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2010,Land area (thousand hectares),813.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2010,Arable land (thousand hectares),33.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2010,Permanent crops (thousand hectares),67.9400,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2010,Forest cover (thousand hectares),396.7320,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2010,Arable land (% of total land area),4.0801,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2010,Permanent crops (% of total land area),8.3495,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2010,Forest cover (% of total land area),48.7565,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2017,Land area (thousand hectares),813.7000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2017,Arable land (thousand hectares),34.5000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2017,Permanent crops (thousand hectares),68.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2017,Forest cover (thousand hectares),396.0730,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2017,Arable land (% of total land area),4.2399,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2017,Permanent crops (% of total land area),8.4552,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
61,Polynesia,2017,Forest cover (% of total land area),48.6756,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2005,Land area (thousand hectares),65286.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2005,Arable land (thousand hectares),7805.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2005,Permanent crops (thousand hectares),105.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2005,Forest cover (thousand hectares),1350.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2005,Arable land (% of total land area),11.9551,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2005,Permanent crops (% of total land area),0.1608,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2005,Forest cover (% of total land area),2.0678,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0000,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
4,Afghanistan,2010,Land area (thousand hectares),65286.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2010,Arable land (thousand hectares),7793.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2010,Permanent crops (thousand hectares),118.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2010,Forest cover (thousand hectares),1350.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2010,Arable land (% of total land area),11.9367,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2010,Permanent crops (% of total land area),0.1807,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2010,Forest cover (% of total land area),2.0678,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),5.7403,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
4,Afghanistan,2017,Land area (thousand hectares),65286.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2017,Arable land (thousand hectares),7699.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
